Idx    | Gold_Re      | Gold_Im      | Core_Re      | Core_Im      | Diff         | Err(%)     | Note
-----------------------------------------------------------------------------------------------------
0      | 21.89657     | 0.00000      | 21.89657     | 0.00000      | 0.00001      | 0.00       | 
1      | 21.74863     | 1.68501      | 21.74897     | 1.68514      | 0.00036      | 0.00       | 
2      | 9.97851      | 6.75435      | 9.97850      | 6.75431      | 0.00004      | 0.00       | 
3      | 13.42879     | 4.44665      | 13.48837     | 4.47158      | 0.06458      | 0.46       | 
4      | 9.53811      | -2.08404     | 9.53632      | -2.08317     | 0.00199      | 0.02       | 
5      | 22.01685     | 2.36700      | 20.83489     | 3.82409      | 1.87620      | 8.47       | 
6      | 17.08756     | -0.82534     | 17.08852     | -0.82573     | 0.00104      | 0.01       | 
7      | 23.44983     | -3.85373     | 23.21922     | -4.67033     | 0.84853      | 3.57       | 
8      | 20.42383     | 3.56329      | 20.42344     | 3.56352      | 0.00045      | 0.00       | 
9      | 21.56777     | 5.28653      | 21.79510     | 5.56640      | 0.36056      | 1.62       | 
10     | 25.06531     | 9.78112      | 25.06405     | 9.78138      | 0.00128      | 0.00       | 
11     | 20.25825     | -3.19033     | 17.10524     | -4.03416     | 3.26397      | 15.92      | HIGH_ERR
12     | 23.58356     | 3.45542      | 23.58612     | 3.45568      | 0.00258      | 0.01       | 
13     | 31.68977     | 1.27775      | 22.84871     | 3.25651      | 9.05979      | 28.57      | HIGH_ERR
14     | 31.81690     | -0.96460     | 31.81631     | -0.96486     | 0.00064      | 0.00       | 
15     | 41.63985     | -4.05116     | 43.30866     | -5.86619     | 2.46561      | 5.89       | 
16     | 43.82269     | 8.10824      | 43.82245     | 8.10897      | 0.00077      | 0.00       | 
17     | 60.35155     | 1.04640      | 60.16734     | 1.43013      | 0.42565      | 0.71       | 
18     | 66.50346     | 1.59889      | 66.50307     | 1.60028      | 0.00144      | 0.00       | 
19     | 118.12210    | -2.87833     | 117.99199    | -1.89023     | 0.99663      | 0.84       | 
20     | 347.49612    | -23.81534    | 347.49423    | -23.81221    | 0.00366      | 0.00       | 
21     | -316.10382   | 23.45867     | -319.19894   | 2.79535      | 20.89384     | 6.59       | 
22     | -106.88595   | 9.04483      | -106.88558   | 9.04414      | 0.00078      | 0.00       | 
23     | -67.44314    | 5.32511      | -65.68998    | 7.69689      | 2.94938      | 4.36       | 
24     | -41.62617    | 8.06565      | -41.62622    | 8.06567      | 0.00005      | 0.00       | 
25     | -29.15187    | 2.90803      | -28.98603    | 3.14403      | 0.28844      | 0.98       | 
26     | -30.01563    | 1.40098      | -30.01511    | 1.40106      | 0.00053      | 0.00       | 
27     | -26.06584    | -5.58820     | -26.11631    | -5.54438     | 0.06683      | 0.25       | 
28     | -13.81989    | 3.89984      | -13.82015    | 3.89983      | 0.00027      | 0.00       | 
29     | -12.57405    | 0.81591      | -0.42054     | 0.07604      | 12.17601     | 96.63      | HIGH_ERR
30     | -7.34982     | -7.60424     | -7.34905     | -7.60396     | 0.00083      | 0.01       | 
31     | -11.28951    | 5.79671      | -12.15631    | 6.09503      | 0.91670      | 7.22       | 
32     | -13.32938    | 1.87299      | -13.32930    | 1.87289      | 0.00013      | 0.00       | 
33     | -7.19160     | 6.91246      | -7.19195     | 6.91254      | 0.00036      | 0.00       | 
34     | -5.11120     | -0.27014     | -5.11178     | -0.27042     | 0.00064      | 0.01       | 
35     | -4.85374     | -4.92660     | -4.81629     | -4.92254     | 0.03767      | 0.54       | 
36     | -1.64880     | 4.58889      | -1.64693     | 4.58864      | 0.00189      | 0.04       | 
37     | -8.74143     | 1.01168      | -9.61856     | -0.29928     | 1.57733      | 17.92      | HIGH_ERR
38     | -10.74982    | -3.23269     | -10.75057    | -3.23247     | 0.00078      | 0.01       | 
39     | 0.48323      | 0.58294      | 0.87005      | 0.60848      | 0.38766      | 51.20      | HIGH_ERR
40     | -7.07153     | 2.65644      | -7.07096     | 2.65664      | 0.00060      | 0.01       | 
41     | -8.18771     | -0.17234     | -8.24202     | -0.27179     | 0.11331      | 1.38       | 
42     | -10.57154    | -6.06311     | -10.57045    | -6.06255     | 0.00122      | 0.01       | 
43     | -8.17455     | 0.22419      | -8.05689     | 0.33710      | 0.16308      | 1.99       | 
44     | 4.02680      | -1.98250     | 4.02536      | -1.98307     | 0.00154      | 0.03       | 
45     | -2.91866     | -6.80214     | 1.90534      | -7.04592     | 4.83015      | 65.26      | HIGH_ERR
46     | 2.91912      | -6.67530     | 2.91925      | -6.67537     | 0.00015      | 0.00       | 
47     | -2.48566     | 2.39139      | -2.44932     | 2.38002      | 0.03808      | 1.10       | 
48     | -8.01142     | -2.40192     | -8.01155     | -2.40191     | 0.00013      | 0.00       | 
49     | 1.08262      | -2.61861     | 0.80400      | -2.59484     | 0.27964      | 9.87       | 
50     | -0.29320     | -10.10820    | -0.29306     | -10.10833    | 0.00020      | 0.00       | 
51     | -2.49287     | 6.48532      | -3.05100     | 6.42604      | 0.56128      | 8.08       | 
52     | -0.40304     | -1.18690     | -0.40613     | -1.18722     | 0.00311      | 0.25       | 
53     | -1.05556     | 0.76600      | -1.54578     | 0.58841      | 0.52140      | 39.98      | HIGH_ERR
54     | -5.64555     | -1.32203     | -5.64497     | -1.32205     | 0.00059      | 0.01       | 
55     | -4.03784     | 1.03984      | -4.33584     | 1.17032      | 0.32531      | 7.80       | 
56     | 1.67575      | 5.05899      | 1.67615      | 5.05889      | 0.00041      | 0.01       | 
57     | -2.42190     | 5.87842      | -2.48854     | 5.84215      | 0.07587      | 1.19       | 
58     | 1.63590      | 1.04521      | 1.63622      | 1.04506      | 0.00035      | 0.02       | 
59     | -5.79959     | -4.39685     | -5.87807     | -4.40948     | 0.07949      | 1.09       | 
60     | -0.66737     | -1.51368     | -0.66776     | -1.51397     | 0.00049      | 0.03       | 
61     | -1.37850     | -3.82160     | 1.48265      | -4.00959     | 2.86732      | 70.58      | HIGH_ERR
62     | -4.66379     | -0.56105     | -4.66344     | -0.56118     | 0.00038      | 0.01       | 
63     | -1.03978     | -4.04583     | -1.44807     | -3.97915     | 0.41370      | 9.90       | 
64     | -3.12385     | -1.40305     | -3.12373     | -1.40305     | 0.00012      | 0.00       | 
65     | -2.78425     | 0.01479      | -2.78423     | 0.01493      | 0.00014      | 0.01       | 
66     | -2.48735     | 2.28629      | -2.48748     | 2.28637      | 0.00015      | 0.00       | 
67     | -11.86376    | -0.24409     | -11.83269    | -0.24856     | 0.03138      | 0.26       | 
68     | 1.06855      | 2.58636      | 1.06913      | 2.58635      | 0.00058      | 0.02       | 
69     | 3.48649      | -6.99434     | 3.84574      | -6.68320     | 0.47526      | 6.08       | 
70     | -10.76107    | -3.43154     | -10.76143    | -3.43145     | 0.00038      | 0.00       | 
71     | 2.17052      | -8.63438     | 2.03343      | -8.86062     | 0.26454      | 2.97       | 
72     | -0.78954     | 2.57836      | -0.78981     | 2.57818      | 0.00033      | 0.01       | 
73     | 6.87634      | 4.03439      | 6.94521      | 4.20105      | 0.18033      | 2.26       | 
74     | -5.02085     | -4.38188     | -5.02109     | -4.38190     | 0.00024      | 0.00       | 
75     | 4.85122      | 1.08050      | 3.66922      | 0.59633      | 1.27732      | 25.70      | HIGH_ERR
76     | 0.38795      | -8.04829     | 0.38896      | -8.04806     | 0.00103      | 0.01       | 
77     | 6.23547      | -0.01446     | 9.51273      | 0.91947      | 3.40773      | 54.65      | HIGH_ERR
78     | -3.97683     | 2.83347      | -3.97660     | 2.83361      | 0.00027      | 0.01       | 
79     | -3.10792     | 4.55830      | -2.99009     | 4.22557      | 0.35297      | 6.40       | 
80     | 0.12414      | -5.58170     | 0.12439      | -5.58160     | 0.00027      | 0.00       | 
81     | -6.07899     | 4.78259      | -6.17076     | 4.73118      | 0.10519      | 1.36       | 
82     | 2.91159      | -3.62959     | 2.91177      | -3.62958     | 0.00018      | 0.00       | 
83     | -5.86534     | 2.54332      | -5.90164     | 2.49028      | 0.06427      | 1.01       | 
84     | -3.28721     | -0.15179     | -3.28570     | -0.15185     | 0.00151      | 0.05       | 
85     | -1.16056     | -2.47034     | -1.56190     | -2.60239     | 0.42250      | 15.48      | HIGH_ERR
86     | 0.84391      | 4.54923      | 0.84314      | 4.54907      | 0.00079      | 0.02       | 
87     | -0.25397     | 13.10407     | 0.39504      | 13.20858     | 0.65737      | 5.02       | 
88     | 5.29738      | -4.86303     | 5.29698      | -4.86317     | 0.00043      | 0.01       | 
89     | -7.75779     | 5.98023      | -7.65511     | 6.05458      | 0.12677      | 1.29       | 
90     | -1.27835     | 3.03932      | -1.27821     | 3.03919      | 0.00019      | 0.01       | 
91     | -2.45580     | 1.88266      | -2.44404     | 1.86842      | 0.01847      | 0.60       | 
92     | 1.90935      | 4.65714      | 1.90932      | 4.65726      | 0.00012      | 0.00       | 
93     | 3.80224      | 4.58992      | 4.73409      | 5.12504      | 1.07458      | 18.03      | HIGH_ERR
94     | -5.74609     | -0.89611     | -5.74599     | -0.89621     | 0.00014      | 0.00       | 
95     | -0.50001     | -1.43515     | -0.58107     | -1.29231     | 0.16424      | 10.81      | HIGH_ERR
96     | -3.73505     | 6.28390      | -3.73511     | 6.28396      | 0.00009      | 0.00       | 
97     | 3.50933      | -3.47689     | 3.50925      | -3.47685     | 0.00009      | 0.00       | 
98     | 3.86788      | 9.44938      | 3.86731      | 9.44952      | 0.00058      | 0.01       | 
99     | 4.97175      | -7.32050     | 5.00257      | -7.30793     | 0.03328      | 0.38       | 
100    | -1.77953     | 7.22712      | -1.77917     | 7.22698      | 0.00039      | 0.01       | 
