
============================== SIGNAL 1 FINAL OUTPUT ==============================
Idx  | Hex(Real)  | Real (Float) | Hex(Imag)  | Imag (Float)
------------------------------------------------------------
0    | 41af2c2f   | 21.89657     | 00000000   | 0.00000     
1    | 41adfd34   | 21.74863     | 3fd7ae60   | 1.68501     
2    | 411fa7fb   | 9.97851      | 40d823a2   | 6.75435     
3    | 4156dc56   | 13.42879     | 408e4aec   | 4.44665     
4    | 41189c1b   | 9.53811      | c00560e3   | -2.08404    
5    | 41b02281   | 22.01685     | 40177cda   | 2.36700     
6    | 4188b351   | 17.08756     | bf53499a   | -0.82534    
7    | 41bb993e   | 23.44982     | c076a38e   | -3.85373    
8    | 41a36403   | 20.42383     | 40640cf6   | 3.56329     
9    | 41ac8acc   | 21.56777     | 40a92b40   | 5.28653     
10   | 41c885bf   | 25.06531     | 411c7f75   | 9.78112     
11   | 41a210e3   | 20.25825     | c04c2e68   | -3.19033    
12   | 41bcab1f   | 23.58356     | 405d2585   | 3.45542     
13   | 41fd84a5   | 31.68977     | 3fa38d33   | 1.27775     
14   | 41fe8903   | 31.81690     | bf76efd5   | -0.96460    
15   | 42268f36   | 41.63986     | c081a319   | -4.05116    
16   | 422f4a6f   | 43.82269     | 4101bb5d   | 8.10824     
17   | 427167fc   | 60.35155     | 3f85f069   | 1.04640     
18   | 428501c6   | 66.50346     | 3fcca88d   | 1.59889     
19   | 42ec3e84   | 118.12210    | c038367e   | -2.87833    
20   | 43adbf81   | 347.49612    | c1be85d3   | -23.81534   
21   | c39e0d4a   | -316.10381   | 41bbab5b   | 23.45867    
22   | c2d5c59b   | -106.88595   | 4110b79c   | 9.04483     
23   | c286e2e3   | -67.44314    | 40aa6753   | 5.32511     
24   | c2268134   | -41.62617    | 41010ce3   | 8.06565     
25   | c1e93709   | -29.15187    | 403a1d2a   | 2.90803     
26   | c1f02005   | -30.01563    | 3fb35329   | 1.40098     
27   | c1d086d9   | -26.06584    | c0b2d283   | -5.58820    
28   | c15d1e44   | -13.81989    | 4079970b   | 3.89984     
29   | c1492f4b   | -12.57405    | 3f50dfa5   | 0.81591     
30   | c0eb31c1   | -7.34982     | c0f355f5   | -7.60424    
31   | c134a1d1   | -11.28951    | 40b97ea7   | 5.79671     
32   | c1554526   | -13.32938    | 3fefbe2a   | 1.87299     
33   | c0e6219c   | -7.19160     | 40dd32de   | 6.91246     
34   | c0a38efb   | -5.11120     | be8a4fd0   | -0.27014    
35   | c09b51ce   | -4.85374     | c09da6bf   | -4.92660    
36   | bfd30be2   | -1.64880     | 4092d832   | 4.58889     
37   | c10bdcea   | -8.74143     | 3f817ed3   | 1.01168     
38   | c12bff46   | -10.74982    | c04ee473   | -3.23269    
39   | 3ef76a4c   | 0.48323      | 3f153be0   | 0.58294     
40   | c0e249f3   | -7.07153     | 402a0323   | 2.65644     
41   | c10300df   | -8.18771     | be30794b   | -0.17234    
42   | c1292503   | -10.57154    | c0c20500   | -6.06311    
43   | c102caf5   | -8.17455     | 3e6591d0   | 0.22419     
44   | 4080db83   | 4.02680      | bffdc26b   | -1.98250    
45   | c03acb46   | -2.91866     | c0d9ab19   | -6.80214    
46   | 403ad2d5   | 2.91912      | c0d59c0f   | -6.67530    
47   | c01f1522   | -2.48566     | 40190c7e   | 2.39139     
48   | c1002ec6   | -8.01142     | c019b91d   | -2.40192    
49   | 3f8a935e   | 1.08262      | c0279744   | -2.61861    
50   | be961ea7   | -0.29320     | c121bb31   | -10.10820   
51   | c01f8b1e   | -2.49287     | 40cf87b9   | 6.48532     
52   | bece5ad0   | -0.40304     | bf97ec4b   | -1.18690    
53   | bf871c91   | -1.05556     | 3f441889   | 0.76600     
54   | c0b4a85d   | -5.64555     | bfa9382f   | -1.32203    
55   | c08135fc   | -4.03784     | 3f85198d   | 1.03984     
56   | 3fd67f06   | 1.67575      | 40a1e337   | 5.05899     
57   | c01b0055   | -2.42190     | 40bc1c01   | 5.87842     
58   | 3fd16526   | 1.63590      | 3f85c975   | 1.04521     
59   | c0b99639   | -5.79959     | c08cb2f5   | -4.39685    
60   | bf2ad8cd   | -0.66737     | bfc1c032   | -1.51368    
61   | bfb072cd   | -1.37850     | c0749522   | -3.82160    
62   | c0953dcb   | -4.66379     | bf0fa0fb   | -0.56105    
63   | bf85178f   | -1.03978     | c081776f   | -4.04583    
64   | c047ed31   | -3.12385     | bfb39716   | -1.40305    
65   | c0323117   | -2.78425     | 3c723ed0   | 0.01479     
66   | c01f30ca   | -2.48735     | 401252a5   | 2.28629     
67   | c13dd1f5   | -11.86376    | be79f2e2   | -0.24409    
68   | 3f88c631   | 1.06855      | 402586e7   | 2.58636     
69   | 405f2297   | 3.48649      | c0dfd1a7   | -6.99434    
70   | c12c2d56   | -10.76107    | c05b9e4a   | -3.43154    
71   | 400ae9e1   | 2.17052      | c10a2668   | -8.63438    
72   | bf4a1f08   | -0.78954     | 402503c8   | 2.57836     
73   | 40dc0af7   | 6.87634      | 408119b4   | 4.03439     
74   | c0a0aad1   | -5.02085     | c08c3858   | -4.38188    
75   | 409b3d3b   | 4.85122      | 3f8a4dd5   | 1.08050     
76   | 3ec6a1d8   | 0.38795      | c100c5cc   | -8.04829    
77   | 40c78902   | 6.23547      | bc6ce87d   | -0.01446    
78   | c07e8456   | -3.97683     | 403557a0   | 2.83347     
79   | c046e839   | -3.10792     | 4091dd8e   | 4.55830     
80   | 3dfe3e15   | 0.12414      | c0b29d47   | -5.58170    
81   | c0c28719   | -6.07899     | 40990af2   | 4.78259     
82   | 403a577c   | 2.91159      | c0684b35   | -3.62959    
83   | c0bbb0e6   | -5.86534     | 4022c5c2   | 2.54332     
84   | c0526192   | -3.28721     | be1b6dc5   | -0.15179    
85   | bf948d2c   | -1.16056     | c01e19fc   | -2.47034    
86   | 3f580a9d   | 0.84391      | 40919345   | 4.54923     
87   | be820893   | -0.25397     | 4151aa42   | 13.10407    
88   | 40a98421   | 5.29738      | c09b9df3   | -4.86303    
89   | c0f83fcd   | -7.75779     | 40bf5e0a   | 5.98023     
90   | bfa3a0fb   | -1.27835     | 40428447   | 3.03932     
91   | c01d2bd5   | -2.45580     | 3ff0fb06   | 1.88266     
92   | 3ff4657d   | 1.90935      | 4095074b   | 4.65714     
93   | 407357d4   | 3.80224      | 4092e096   | 4.58992     
94   | c0b7dff0   | -5.74609     | bf656761   | -0.89611    
95   | bf0000a0   | -0.50001     | bfb7b2de   | -1.43515    
96   | c06f0b0b   | -3.73505     | 40c915bf   | 6.28390     
97   | 406098d4   | 3.50933      | c05e856b   | -3.47689    
98   | 40778b46   | 3.86788      | 411730ae   | 9.44938     
99   | 409f189c   | 4.97175      | c0ea4183   | -7.32050    
